Country_Code,lat,lon
AFG,34.52,69.18
DZA,36.75,3.05
AGO,-8.83,13.22
ARG,-34.58,-58.67
ARM,40.17,44.5
AZE,40.38,49.87
BGD,23.72,90.4
BLZ,17.25,-88.77
BEN,6.48,2.62
BTN,27.47,89.63
BOL,-19.02,-65.26
BWA,-24.63,25.9
BRA,-15.79,-47.88
BFA,12.37,-1.52
BDI,-3.43,29.93
CPV,14.92,-23.52
KHM,11.55,104.92
CMR,3.85,11.5
CAF,4.37,18.58
TCD,12.1,15.03
CHN,39.92,116.38
COL,4.71,-74.07
COM,-11.7,43.23
COG,-4.25,15.28
CRI,9.93,-84.09
CIV,6.82,-5.27
COD,-4.32,15.3
DJI,11.58,43.15
DOM,18.47,-69.9
ECU,-0.22,-78.5
SLV,13.7,-89.2
GNQ,1.35,10.49
SWZ,-26.32,31.13
ETH,9.03,38.7
GAB,0.38,9.45
GMB,13.45,-16.57
GEO,41.68,44.83
GHA,5.55,-0.22
GTM,14.62,-90.52
GIN,9.5,-13.7
GNB,11.85,-15.58
GUY,6.8,-58.15
HTI,18.53,-72.33
HND,14.1,-87.22
IND,28.6,77.2
IDN,-6.17,106.82
IRN,35.7,51.42
KAZ,51.16,71.45
KEN,-1.28,36.82
KGZ,42.87,74.6
LAO,17.97,102.6
LBR,6.3,-10.8
MDG,-18.92,47.52
MWI,-13.97,33.78
MYS,3.17,101.7
MLI,12.65,-8.0
MRT,18.07,-15.97
MEX,19.43,-99.13
MOZ,-25.95,32.58
MMR,19.76,96.07
NAM,-22.57,17.08
NPL,27.72,85.32
NIC,12.13,-86.25
NER,13.52,2.12
NGA,9.08,7.53
PAK,33.68,73.05
PAN,8.97,-79.53
PNG,-9.45,147.18
PRY,-25.28,-57.57
PER,-12.05,-77.05
PHL,14.6,120.97
KOR,37.55,126.98
RWA,-1.95,30.05
STP,0.34,6.73
SAU,24.65,46.7
SEN,14.73,-17.63
SLE,8.48,-13.23
SLB,-9.43,159.95
SOM,2.07,45.33
ZAF,-25.7,28.22
SSD,4.85,31.62
LKA,6.89,79.9
SDN,15.6,32.53
SUR,5.83,-55.17
TJK,38.55,68.77
THA,13.75,100.52
TLS,-8.58,125.6
TGO,6.14,1.21
TKM,37.95,58.38
TUR,39.93,32.87
UGA,0.32,32.55
TZA,-6.16,35.75
UZB,41.32,69.25
VUT,-17.73,168.32
VEN,10.48,-66.87
VNM,21.03,105.85
YEM,15.37,44.19
ZMB,-15.42,28.28
ZWE,-17.82,31.03
