Country_Code,Median_Rainfall
AFG,324.2
DZA,510.7
AGO,484.0
ARG,955.0
ARM,363.6
AZE,268.9
BGD,1786.7
BLZ,1709.0
BEN,1645.7
BTN,3493.9
BOL,1037.0
BWA,343.8
BRA,1098.5
BFA,648.5
BDI,1045.6
CPV,255.6
KHM,1653.3
CMR,1667.6
CAF,1165.8
TCD,415.2
CHN,609.2
COL,1039.3
COM,2657.7
COG,1303.0
CRI,2951.1
CIV,1386.4
COD,1233.1
DJI,253.7
DOM,1245.4
ECU,3568.5
SLV,1534.8
LAO,1918.9
LBR,3739.2
MDG,1244.8
MWI,771.9
MYS,3033.0
MLI,711.2
MRT,31.1
MEX,1152.9
MOZ,772.1
MMR,2593.4
NAM,287.6
NPL,3109.4
NIC,1328.2
THA,1555.0
TLS,1294.3
TGO,1098.9
TKM,257.6
TUR,441.0
UGA,1570.0
TZA,483.2
UZB,433.7
VUT,1769.5
VEN,947.3
VNM,2128.7
YEM,161.2
ZMB,831.6
GNQ,3364.8
SWZ,1215.7
ETH,1501.9
GAB,2719.6
GMB,702.5
GEO,514.2
GHA,902.6
GTM,1422.3
GIN,3124.9
GNB,1515.6
GUY,2289.8
HTI,427.9
HND,1347.8
IND,731.4
IDN,2001.4
IRN,327.1
KAZ,375.9
KEN,692.4
KGZ,730.7
NER,316.6
NGA,1061.2
PAK,964.6
PAN,2324.2
PNG,1773.0
PRY,1487.7
PER,71.8
PHL,2361.5
KOR,1156.4
RWA,890.2
STP,2731.7
SAU,83.7
SEN,245.0
SLE,2879.9
SLB,2851.4
SOM,494.5
ZAF,589.1
SSD,697.7
LKA,2803.8
SDN,46.3
SUR,2096.2
TJK,512.7
ZWE,712.2
